S.NO.,PROGRAM GROUP,TRANSFORMATION,ACTIVITY ID,ACTIVITY DESCRIPTION,START DATE,END DATE,UNIT,PLANNED QTY,YEAR,MONTH
170,BLD-2248-D-ED|16|A,EXTERNAL DEVELOPMENT WORK,1752,F/W (Steel Plate)- Upto Plinth,12-12-2019,17-03-2022,M2 ,3500,2020,8
171,BLD-2248-D-ED|16|B,EXTERNAL DEVELOPMENT WORK,1753,F/W (Steel Plate)-Upto Plinth (vertical),12-12-2019,17-03-2022,M2 ,220,2020,8
172,BLD-2248-D-ED|16|E,EXTERNAL DEVELOPMENT WORK,1754,F/W (Steel Plate)-above Plinth (Horizon),12-12-2019,17-03-2022,M2 ,276,2020,8
173,BLD-2248-D-ED|17|A,EXTERNAL DEVELOPMENT WORK,1755,P&F reinf steel incl tran/strght/cut/Bnd,12-12-2019,17-03-2022,MT,273,2020,8
174,BLD-2248-D-ED|18,EXTERNAL DEVELOPMENT WORK,1756,S&L Polythene Sheet (150gm/Sqm) over DPC,12-12-2019,17-03-2022,M2 ,2850,2020,8
175,BLD-2248-D-ED|19|A,EXTERNAL DEVELOPMENT WORK,1757,Subgrade Preparation (300mm Depth),12-12-2019,17-03-2022,M2 ,2850,2020,8
176,BLD-2248-D-ED|20,EXTERNAL DEVELOPMENT WORK,1758,Rolling Subgrade by Roller (8-12T),12-12-2019,17-03-2022,M2 ,2900,2020,8
177,BLD-2248-D-ED|21,EXTERNAL DEVELOPMENT WORK,1759,Sprd&Scrn Road metal-brick bat (63-90mm),12-12-2019,17-03-2022,M3,441,2020,8
178,BLD-2248-D-ED|22,EXTERNAL DEVELOPMENT WORK,1760,P&F 25mm thk thermocol sheet in Exp Jnt,12-12-2019,17-03-2022,M2 ,184,2020,8
179,BLD-2248-D-ED|23|A,EXTERNAL DEVELOPMENT WORK,1761,P&L bitumen sealing compound in Exp Jnt,12-12-2019,17-03-2022,M,900,2020,8
180,BLD-2248-D-ED|24,EXTERNAL DEVELOPMENT WORK,1762,P&L Conc. (M40) Grass paver block,12-12-2019,17-03-2022,M2 ,800,2020,8
181,BLD-2248-D-ED|25,EXTERNAL DEVELOPMENT WORK,1763,P&L Conc. (M30) interlocking paver block,12-12-2019,17-03-2022,M2 ,160,2020,8
182,BLD-2248-D-ED|26,EXTERNAL DEVELOPMENT WORK,1764,P&L Kerb Channel 50mm Thk (Mort: 1:3:6),12-12-2019,17-03-2022,M2 ,190,2020,8
183,BLD-2248-D-ED|27,EXTERNAL DEVELOPMENT WORK,1765,P&L Kerb Stone (M:25) with Mort: 1:3,12-12-2019,17-03-2022,M3,68,2020,8
184,BLD-2248-D-ED|28|A,EXTERNAL DEVELOPMENT WORK,1766,P&A synthetic enamel paint,12-12-2019,17-03-2022,M2 ,660,2020,8
185,BLD-2248-D-ED|29,EXTERNAL DEVELOPMENT WORK,1767,P&L Pol Granite flooring (1:4)-18 mm Thk,12-12-2019,17-03-2022,M2 ,513,2020,8
186,BLD-2248-D-ED|30|A,EXTERNAL DEVELOPMENT WORK,1768,P&L Flame finish Granite flooring (1:4),12-12-2019,17-03-2022,M2 ,1540,2020,8
187,BLD-2248-D-ED|31|A,EXTERNAL DEVELOPMENT WORK,1769,P&L Kota flooring (1:4)-25 mm Thk,12-12-2019,17-03-2022,M2 ,52,2020,8
188,BLD-2248-D-ED|32,EXTERNAL DEVELOPMENT WORK,1770,"P&L Kota Skirt,Dado,Stair(1:3)-20 mm Thk",12-12-2019,17-03-2022,M2 ,12,2020,8
189,BLD-2248-D-ED|33,EXTERNAL DEVELOPMENT WORK,1771,P&L Anti skid exter grade Vitrified Tile,12-12-2019,17-03-2022,M2 ,86,2020,8
190,BLD-2248-D-ED|34,EXTERNAL DEVELOPMENT WORK,1772,P&L Glass mosaic tiles on wall (1:4),12-12-2019,17-03-2022,M2 ,130,2020,8
191,BLD-2248-D-ED|35|A,EXTERNAL DEVELOPMENT WORK,1773,Conc. Floor (1:2:4)- 40mm Thk,12-12-2019,17-03-2022,M2 ,250,2020,8
192,BLD-2248-D-ED|36,EXTERNAL DEVELOPMENT WORK,1774,P&L Turf paver on 150 mm thick sub grade,12-12-2019,17-03-2022,M2 ,150,2020,8
193,BLD-2248-D-ED|37|A,EXTERNAL DEVELOPMENT WORK,1775,P&A water proofing cement paint,12-12-2019,17-03-2022,M2 ,210,2020,8
194,BLD-2248-D-ED|38|A,EXTERNAL DEVELOPMENT WORK,1776,P&A primer with red oxide on steel/Iron,12-12-2019,17-03-2022,M2 ,583,2020,8
195,BLD-2248-D-ED|39|A,EXTERNAL DEVELOPMENT WORK,1777,P&A Premium Acrylic exterior paint,12-12-2019,17-03-2022,M2 ,1221,2020,8
196,BLD-2248-D-ED|40|A,EXTERNAL DEVELOPMENT WORK,1778,P&A synthetic enamel paint (2 Coats),12-12-2019,17-03-2022,M2 ,583,2020,8
197,BLD-2248-D-ED|41,EXTERNAL DEVELOPMENT WORK,1779,Making V-groove in plastered surface,12-12-2019,17-03-2022,M,1200,2020,8
198,BLD-2248-D-ED|42|A,EXTERNAL DEVELOPMENT WORK,1780,"Sup,Fab & Erec of Structural Steel",12-12-2019,17-03-2022,KG,35590,2020,8
199,BLD-2248-D-ED|43,EXTERNAL DEVELOPMENT WORK,1781,P&L Precast RCC (M:30) Rect. Covers,12-12-2019,17-03-2022,M2 ,468,2020,8
200,BLD-2248-D-ED|44|ITOIX,EXTERNAL DEVELOPMENT WORK,1782,SITC aerating column jet fountain,12-12-2019,17-03-2022,JOB,1,2020,8
201,BLD-2248-D-HC|A|1,HORTICULTURE WORK,1783,Trenching in Ord. Soil upto depth 30cm,12-12-2019,17-03-2022,M3,728,2020,8
202,BLD-2248-D-HC|A|2,HORTICULTURE WORK,1784,Supp & Stack Good earth,12-12-2019,17-03-2022,M3,364,2020,8
203,BLD-2248-D-HC|A|3,HORTICULTURE WORK,1785,Supp & Stack sludge,12-12-2019,17-03-2022,M3,243,2020,8
204,BLD-2248-D-HC|A|4|A,HORTICULTURE WORK,1786,Supp & Stack dump manure-sieve 20mm,12-12-2019,17-03-2022,M3,80,2020,8
205,BLD-2248-D-HC|A|4|B,HORTICULTURE WORK,1787,Supp & Stack dump manure-sieve 16mm,12-12-2019,17-03-2022,M3,80,2020,8
206,BLD-2248-D-HC|A|4|C,HORTICULTURE WORK,1788,Supp & Stack dump manure-sieve 4.7mm,12-12-2019,17-03-2022,M3,80,2020,8
207,BLD-2248-D-HC|A|5,HORTICULTURE WORK,1789,Rough dressing the trenched ground,12-12-2019,17-03-2022,101,24,2020,8
208,BLD-2248-D-HC|A|6,HORTICULTURE WORK,1790,Uprooting weeds from trenched area,12-12-2019,17-03-2022,101,24,2020,8
209,BLD-2248-D-HC|A|7,HORTICULTURE WORK,1791,"Spreading of sludge,manure,good earth",12-12-2019,17-03-2022,M3,845,2020,8
210,BLD-2248-D-HC|A|8,HORTICULTURE WORK,1792,P&F MS Flat tree guard with Name plate,12-12-2019,17-03-2022,EA,50,2020,8
211,BLD-2248-D-HC|A|9|A,HORTICULTURE WORK,1793,"Edging with brick incl Excv,refil,Consld",12-12-2019,17-03-2022,M,150,2020,8
212,BLD-2248-D-HC|A|10,HORTICULTURE WORK,1794,Supp & Stack decayed cow dung manure,12-12-2019,17-03-2022,M3,30,2020,8
213,BLD-2248-D-HC|A|11|A,HORTICULTURE WORK,1795,P&F Circular Conc. Pots (1:2:4)- 35/25mm,12-12-2019,17-03-2022,EA,50,2020,8
214,BLD-2248-D-HC|A|11|B,HORTICULTURE WORK,1796,P&F Circular Conc. Pots (1:2:4)- 30/20mm,12-12-2019,17-03-2022,EA,50,2020,8
215,BLD-2248-D-HC|A|12|A,HORTICULTURE WORK,1797,P&L water filtration Pebble-Pure white,12-12-2019,17-03-2022,M3,5,2020,8
216,BLD-2248-D-HC|A|12|B,HORTICULTURE WORK,1798,P&L water filtration Pebble-Pure black,12-12-2019,17-03-2022,M3,3,2020,8
217,BLD-2248-D-HC|A|12|C,HORTICULTURE WORK,1799,P&L water filtration Pebble-Naturl Brown,12-12-2019,17-03-2022,M3,25,2020,8
218,BLD-2248-D-HC|A|13'1,HORTICULTURE WORK,1800,S&P Achras Sapota (Chiku Tree),12-12-2019,17-03-2022,EA,5,2020,8
219,BLD-2248-D-HC|A|13'2,HORTICULTURE WORK,1801,S&P Achras Sapota (Chiku Tree),12-12-2019,17-03-2022,EA,5,2020,8
220,BLD-2248-D-HC|A|13'3,HORTICULTURE WORK,1802,S&P Alstonia scholaris(Saptoprni/ Chatim,12-12-2019,17-03-2022,EA,3,2020,8
221,BLD-2248-D-HC|A|13'4,HORTICULTURE WORK,1803,S&P Azadirachta Indica (Neem),12-12-2019,17-03-2022,EA,6,2020,8
222,BLD-2248-D-HC|A|13'5,HORTICULTURE WORK,1804,S&P Red Bottle Brush,12-12-2019,17-03-2022,EA,5,2020,8
223,BLD-2248-D-HC|A|13'6,HORTICULTURE WORK,1805,S&P Cassia fistula (Indian Laburnum),12-12-2019,17-03-2022,EA,5,2020,8
224,BLD-2248-D-HC|A|13'7,HORTICULTURE WORK,1806,S&P Cassia Javanica (Apple Blossom),12-12-2019,17-03-2022,EA,6,2020,8
225,BLD-2248-D-HC|A|13'8,HORTICULTURE WORK,1807,S&P Cordia sebestena ( Raktarag),12-12-2019,17-03-2022,EA,6,2020,8
226,BLD-2248-D-HC|A|13'9,HORTICULTURE WORK,1808,S&P Coroupita Guinensis (Canon Ball),12-12-2019,17-03-2022,EA,6,2020,8
227,BLD-2248-D-HC|A|13'10,HORTICULTURE WORK,1809,S&P Cycas Revoluta ( Sago Palm)@1500 c/c,12-12-2019,17-03-2022,EA,5,2020,8
228,BLD-2248-D-HC|A|13'11,HORTICULTURE WORK,1810,S&P Caesalpinia Pulcherrima,12-12-2019,17-03-2022,EA,5,2020,8
229,BLD-2248-D-HC|A|13'12,HORTICULTURE WORK,1811,S&P Delonix Regia ( Gulmohor),12-12-2019,17-03-2022,EA,6,2020,8
230,BLD-2248-D-HC|A|13'13,HORTICULTURE WORK,1812,S&P Eugenia Jambolana (Jamun/Java Palm),12-12-2019,17-03-2022,EA,6,2020,8
231,BLD-2248-D-HC|A|13'14,HORTICULTURE WORK,1813,S&P Ficus Benjamina(Pernnial Buck wheat),12-12-2019,17-03-2022,EA,5,2020,8
232,BLD-2248-D-HC|A|13'15,HORTICULTURE WORK,1814,S&P Ficus Ingens (Red Ficus) @1500 c/c,12-12-2019,17-03-2022,EA,5,2020,8
233,BLD-2248-D-HC|A|13'16,HORTICULTURE WORK,1815,S&P Ficus Microcarpa Chinese Banyan,12-12-2019,17-03-2022,EA,5,2020,8
234,BLD-2248-D-HC|A|13'17,HORTICULTURE WORK,1816,S&P Ficus Variegata ( Fig ) @1500 c/c,12-12-2019,17-03-2022,EA,5,2020,8
235,BLD-2248-D-HC|A|13'18,HORTICULTURE WORK,1817,S&P Filifera aurea ( Golden Cypruss),12-12-2019,17-03-2022,EA,5,2020,8
236,BLD-2248-D-HC|A|13'19,HORTICULTURE WORK,1818,S&P Grevillea Robusta ( Silver Oak),12-12-2019,17-03-2022,EA,4,2020,8
237,BLD-2248-D-HC|A|13'20,HORTICULTURE WORK,1819,S&P Javanica Mimosifolia,12-12-2019,17-03-2022,EA,3,2020,8
238,BLD-2248-D-HC|A|13'21,HORTICULTURE WORK,1820,S&P Lagerstroemia Flos-reginae ( Jarul),12-12-2019,17-03-2022,EA,3,2020,8
239,BLD-2248-D-HC|A|13'22,HORTICULTURE WORK,1821,S&P Lagerstroemia Indica,12-12-2019,17-03-2022,EA,6,2020,8
240,BLD-2248-D-HC|A|13'23,HORTICULTURE WORK,1822,S&P Mangifera Indica ( Mango),12-12-2019,17-03-2022,EA,5,2020,8
241,BLD-2248-D-HC|A|13'24,HORTICULTURE WORK,1823,S&P Golden Bottle Brush,12-12-2019,17-03-2022,EA,5,2020,8
242,BLD-2248-D-HC|A|13'25,HORTICULTURE WORK,1824,S&P Michelia Champaca ( Golden Champa),12-12-2019,17-03-2022,EA,5,2020,8
243,BLD-2248-D-HC|A|13'26,HORTICULTURE WORK,1825,S&P Mimusops elengi Spanish Cherry,12-12-2019,17-03-2022,EA,5,2020,8
244,BLD-2248-D-HC|A|13'27,HORTICULTURE WORK,1826,S&P Night Flowering Jesmine,12-12-2019,17-03-2022,EA,5,2020,8
245,BLD-2248-D-HC|A|13'28,HORTICULTURE WORK,1827,S&P Nerium Oleander,12-12-2019,17-03-2022,EA,5,2020,8
246,BLD-2248-D-HC|A|13'29,HORTICULTURE WORK,1828,S&P Odallum Rubra ( Champa) @2500 c/c,12-12-2019,17-03-2022,EA,5,2020,8
247,BLD-2248-D-HC|A|13'30,HORTICULTURE WORK,1829,S&P Peltophorum feruginium(Yellow Flame),12-12-2019,17-03-2022,EA,5,2020,8
248,BLD-2248-D-HC|A|13'31,HORTICULTURE WORK,1830,S&P Plumeria acutifolia (Red Frangipani),12-12-2019,17-03-2022,EA,4,2020,8
249,BLD-2248-D-HC|A|13'32,HORTICULTURE WORK,1831,S&P Plumeria Alba ( Gulancha) @3000 c/c,12-12-2019,17-03-2022,EA,5,2020,8
250,BLD-2248-D-HC|A|13'33,HORTICULTURE WORK,1832,S&P Plumeria Rubra( Ftrangipani),12-12-2019,17-03-2022,EA,5,2020,8
251,BLD-2248-D-HC|A|13'34,HORTICULTURE WORK,1833,S&P Podocarpus macrophyllus(Yellow Pine),12-12-2019,17-03-2022,EA,5,2020,8
252,BLD-2248-D-HC|A|13'35,HORTICULTURE WORK,1834,S&P Polyalthia longifolia (Mast Tree),12-12-2019,17-03-2022,EA,5,2020,8
253,BLD-2248-D-HC|A|13'36,HORTICULTURE WORK,1835,S&P Poltoforum Pterocarpum,12-12-2019,17-03-2022,EA,5,2020,8
254,BLD-2248-D-HC|A|13'37,HORTICULTURE WORK,1836,S&P Plumbago Capensiss,12-12-2019,17-03-2022,EA,5,2020,8
255,BLD-2248-D-HC|A|13'38,HORTICULTURE WORK,1837,S&P Saraca Indica ( Ashoka),12-12-2019,17-03-2022,EA,5,2020,8
256,BLD-2248-D-HC|A|13'39,HORTICULTURE WORK,1838,S&P Spathodea Companulata ( Tulip),12-12-2019,17-03-2022,EA,3,2020,8
257,BLD-2248-D-HC|A|13'40,HORTICULTURE WORK,1839,S&P Spiral Buxus,12-12-2019,17-03-2022,EA,5,2020,8
258,BLD-2248-D-HC|A|13'41,HORTICULTURE WORK,1840,S&P Tabebuia Argentea ( Silver Trumpet),12-12-2019,17-03-2022,EA,3,2020,8
259,BLD-2248-D-HC|A|13'42,HORTICULTURE WORK,1841,S&P Tabebuia Rosea ( Pink Trumpet),12-12-2019,17-03-2022,EA,2,2020,8
260,BLD-2248-D-HC|A|13'43,HORTICULTURE WORK,1842,S&P Tecoma Gaudichaudi,12-12-2019,17-03-2022,EA,6,2020,8
261,BLD-2248-D-HC|A|13'44,HORTICULTURE WORK,1843,S&P Terminalia Variegata ( Tagor),12-12-2019,17-03-2022,EA,2,2020,8
262,BLD-2248-D-HC|A|14'1,HORTICULTURE WORK,1844,S&P Areca Palm,12-12-2019,17-03-2022,EA,5,2020,8
263,BLD-2248-D-HC|A|14'2,HORTICULTURE WORK,1845,S&P Cyrtostachys Renda,12-12-2019,17-03-2022,EA,5,2020,8
264,BLD-2248-D-HC|A|14'3,HORTICULTURE WORK,1846,S&P Date Palm,12-12-2019,17-03-2022,EA,5,2020,8
265,BLD-2248-D-HC|A|14'4,HORTICULTURE WORK,1847,S&P Golden Cane Palm,12-12-2019,17-03-2022,EA,5,2020,8
266,BLD-2248-D-HC|A|14'5,HORTICULTURE WORK,1848,S&P Livistona Decipiens,12-12-2019,17-03-2022,EA,5,2020,8
267,BLD-2248-D-HC|A|14'6,HORTICULTURE WORK,1849,S&P Livistona Rotundifolia,12-12-2019,17-03-2022,EA,5,2020,8
268,BLD-2248-D-HC|A|14'7,HORTICULTURE WORK,1850,S&P Phoenix Palm,12-12-2019,17-03-2022,EA,5,2020,8
269,BLD-2248-D-HC|A|14'8,HORTICULTURE WORK,1851,S&P Rhapis Excalsa,12-12-2019,17-03-2022,EA,5,2020,8
270,BLD-2248-D-HC|A|14'9,HORTICULTURE WORK,1852,S&P Royal Palm,12-12-2019,17-03-2022,EA,5,2020,8
271,BLD-2248-D-HC|A|14'10,HORTICULTURE WORK,1853,S&P Triangular Palm,12-12-2019,17-03-2022,EA,5,2020,8
272,BLD-2248-D-HC|A|14'11,HORTICULTURE WORK,1854,S&P Veitchia Merrilli,12-12-2019,17-03-2022,EA,5,2020,8
273,BLD-2248-D-HC|A|14'12,HORTICULTURE WORK,1855,S&P Wodyetia Bifurcata (Foxtail palm),12-12-2019,17-03-2022,EA,5,2020,8
274,BLD-2248-D-HC|A|15'1,HORTICULTURE WORK,1856,S&P Acalypha wilkesiana compacta dwarf,12-12-2019,17-03-2022,EA,5,2020,8
275,BLD-2248-D-HC|A|15'2,HORTICULTURE WORK,1857,S&P Alpinia purpurea,12-12-2019,17-03-2022,EA,15,2020,8
276,BLD-2248-D-HC|A|15'3,HORTICULTURE WORK,1858,S&P Alpinia Z. Variegated Dwarf,12-12-2019,17-03-2022,EA,15,2020,8
277,BLD-2248-D-HC|A|15'4,HORTICULTURE WORK,1859,S&P Alternanthera bettzickiana,12-12-2019,17-03-2022,EA,15,2020,8
278,BLD-2248-D-HC|A|15'5,HORTICULTURE WORK,1860,S&P Anthurium spp.,12-12-2019,17-03-2022,EA,15,2020,8
279,BLD-2248-D-HC|A|15'6,HORTICULTURE WORK,1861,S&P Asparagus,12-12-2019,17-03-2022,EA,15,2020,8
280,BLD-2248-D-HC|A|15'7,HORTICULTURE WORK,1862,S&P Bambusa ventricosa,12-12-2019,17-03-2022,EA,15,2020,8
281,BLD-2248-D-HC|A|15'8,HORTICULTURE WORK,1863,S&P Bambusa Vulgaris,12-12-2019,17-03-2022,EA,15,2020,8
282,BLD-2248-D-HC|A|15'9,HORTICULTURE WORK,1864,S&P Canna Spp. Dwarf,12-12-2019,17-03-2022,EA,15,2020,8
283,BLD-2248-D-HC|A|15'10,HORTICULTURE WORK,1865,S&P Chrysopogon zizanioides (vetiver),12-12-2019,17-03-2022,EA,15,2020,8
284,BLD-2248-D-HC|A|15'11,HORTICULTURE WORK,1866,S&P Cordyline Mahatma Red,12-12-2019,17-03-2022,EA,15,2020,8
285,BLD-2248-D-HC|A|15'12,HORTICULTURE WORK,1867,S&P Cortaderia Selloana,12-12-2019,17-03-2022,EA,15,2020,8
286,BLD-2248-D-HC|A|15'13,HORTICULTURE WORK,1868,S&P Cymbopogon Citratus,12-12-2019,17-03-2022,EA,15,2020,8
287,BLD-2248-D-HC|A|15'14,HORTICULTURE WORK,1869,S&P Cyperus Alternifolius Gracilis,12-12-2019,17-03-2022,EA,15,2020,8
288,BLD-2248-D-HC|A|15'15,HORTICULTURE WORK,1870,S&P Clerodendrum Inerme (Forest Jasmico),12-12-2019,17-03-2022,EA,15,2020,8
289,BLD-2248-D-HC|A|15'16,HORTICULTURE WORK,1871,S&P Duranta goldeana,12-12-2019,17-03-2022,EA,15,2020,8
290,BLD-2248-D-HC|A|15'17,HORTICULTURE WORK,1872,S&P Euphorbia cotinifolia,12-12-2019,17-03-2022,EA,15,2020,8
291,BLD-2248-D-HC|A|15'18,HORTICULTURE WORK,1873,S&P Ficus Panda,12-12-2019,17-03-2022,EA,15,2020,8
292,BLD-2248-D-HC|A|15'19,HORTICULTURE WORK,1874,S&P Furcraea Gigantica,12-12-2019,17-03-2022,EA,15,2020,8
293,BLD-2248-D-HC|A|15'20,HORTICULTURE WORK,1875,S&P Green Lily,12-12-2019,17-03-2022,EA,15,2020,8
294,BLD-2248-D-HC|A|15'21,HORTICULTURE WORK,1876,S&P Gaillardia Pukhella,12-12-2019,17-03-2022,EA,15,2020,8
295,BLD-2248-D-HC|A|15'22,HORTICULTURE WORK,1877,S&P Geranium Psilostemon,12-12-2019,17-03-2022,EA,15,2020,8
296,BLD-2248-D-HC|A|15'23,HORTICULTURE WORK,1878,S&P Hamelia Patens Dwarf,12-12-2019,17-03-2022,EA,15,2020,8
297,BLD-2248-D-HC|A|15'24,HORTICULTURE WORK,1879,S&P Heliconia psittacarum,12-12-2019,17-03-2022,EA,15,2020,8
298,BLD-2248-D-HC|A|15'25,HORTICULTURE WORK,1880,S&P Hydrangia Macrophylla,12-12-2019,17-03-2022,EA,15,2020,8
299,BLD-2248-D-HC|A|15'26,HORTICULTURE WORK,1881,S&P Heliconia rostrata,12-12-2019,17-03-2022,EA,15,2020,8
300,BLD-2248-D-HC|A|15'27,HORTICULTURE WORK,1882,S&P Hemerocallis SPP,12-12-2019,17-03-2022,EA,15,2020,8
301,BLD-2248-D-HC|A|15'28,HORTICULTURE WORK,1883,S&P Hymenocallys littoralis,12-12-2019,17-03-2022,EA,15,2020,8
302,BLD-2248-D-HC|A|15'29,HORTICULTURE WORK,1884,S&P Impatiens SPP.,12-12-2019,17-03-2022,EA,15,2020,8
303,BLD-2248-D-HC|A|15'30,HORTICULTURE WORK,1885,S&P Lantana Sellowiana,12-12-2019,17-03-2022,EA,15,2020,8
304,BLD-2248-D-HC|A|15'31,HORTICULTURE WORK,1886,S&P Lemonia S variagata,12-12-2019,17-03-2022,EA,15,2020,8
305,BLD-2248-D-HC|A|15'32,HORTICULTURE WORK,1887,S&P Lantnna Camara (Pink),12-12-2019,17-03-2022,EA,15,2020,8
306,BLD-2248-D-HC|A|15'33,HORTICULTURE WORK,1888,S&P Musa Ornata,12-12-2019,17-03-2022,EA,15,2020,8
307,BLD-2248-D-HC|A|15'34,HORTICULTURE WORK,1889,S&P Nerium Dwarf Variegata (Petite Pink),12-12-2019,17-03-2022,EA,15,2020,8
308,BLD-2248-D-HC|A|15'35,HORTICULTURE WORK,1890,S&P Ophiopogon J.variegata,12-12-2019,17-03-2022,EA,15,2020,8
309,BLD-2248-D-HC|A|15'36,HORTICULTURE WORK,1891,S&P Osmoxylon lineare,12-12-2019,17-03-2022,EA,15,2020,8
310,BLD-2248-D-HC|A|15'37,HORTICULTURE WORK,1892,S&P Philodendron Xanadu,12-12-2019,17-03-2022,EA,15,2020,8
311,BLD-2248-D-HC|A|15'38,HORTICULTURE WORK,1893,S&P Phyllostachys nigra,12-12-2019,17-03-2022,EA,15,2020,8
312,BLD-2248-D-HC|A|15'39,HORTICULTURE WORK,1894,S&P Pleioblastus Variegata,12-12-2019,17-03-2022,EA,15,2020,8
313,BLD-2248-D-HC|A|15'40,HORTICULTURE WORK,1895,S&P Plumbago Capiensis,12-12-2019,17-03-2022,EA,15,2020,8
314,BLD-2248-D-HC|A|15'41,HORTICULTURE WORK,1896,S&P Plumeria Pudica,12-12-2019,17-03-2022,EA,15,2020,8
315,BLD-2248-D-HC|A|15'42,HORTICULTURE WORK,1897,S&P Pleatranthus Scutellarioides,12-12-2019,17-03-2022,EA,15,2020,8
316,BLD-2248-D-HC|A|15'43,HORTICULTURE WORK,1898,S&P Pandanus Sanderi,12-12-2019,17-03-2022,EA,15,2020,8
317,BLD-2248-D-HC|A|16'1,HORTICULTURE WORK,1899,S&P Antigonon leptopus,12-12-2019,17-03-2022,EA,10,2020,8
318,BLD-2248-D-HC|A|16'2,HORTICULTURE WORK,1900,S&P Beaumontia grandiflora,12-12-2019,17-03-2022,EA,10,2020,8
319,BLD-2248-D-HC|A|16'3,HORTICULTURE WORK,1901,S&P Bignonia Venusta,12-12-2019,17-03-2022,EA,10,2020,8
320,BLD-2248-D-HC|A|16'4,HORTICULTURE WORK,1902,S&P Bougainvillea sp.,12-12-2019,17-03-2022,EA,10,2020,8
321,BLD-2248-D-HC|A|16'5,HORTICULTURE WORK,1903,S&P Jacquimontia Violacea,12-12-2019,17-03-2022,EA,10,2020,8
322,BLD-2248-D-HC|A|16'6,HORTICULTURE WORK,1904,S&P Passiflora Caerulea,12-12-2019,17-03-2022,EA,10,2020,8
323,BLD-2248-D-HC|A|16'7,HORTICULTURE WORK,1905,S&P Thunbergia grandiflora,12-12-2019,17-03-2022,EA,10,2020,8
324,BLD-2248-D-HC|A|17'1,HORTICULTURE WORK,1906,S&P Blade grass,12-12-2019,17-03-2022,M2 ,300,2020,8
325,BLD-2248-D-HC|A|17'2,HORTICULTURE WORK,1907,S&P Calcutta doob - selection 1,12-12-2019,17-03-2022,M2 ,1850,2020,8
326,BLD-2248-D-HC|A|17'3,HORTICULTURE WORK,1908,S&P Korean grass,12-12-2019,17-03-2022,M2 ,300,2020,8
327,BLD-2248-D-HC|A|18,HORTICULTURE WORK,1909,"Maint-tree,shrub,crepr,lawn,perenal,palm",12-12-2019,17-03-2022,JOB,1,2020,8
328,BLD-2248-D-HC|A|19,HORTICULTURE WORK,1910,"lift earth,manure-roof garden (upto 9FL)",12-12-2019,17-03-2022,M3,50,2020,8
329,BLD-2248-D-LIC|B|1'1|A,LANDSCAPING IRRIGATION WORK,1911,P&F HDPE pipe incl. fittings-110mm,12-12-2019,17-03-2022,M,250,2020,8
330,BLD-2248-D-LIC|B|1'1|B,LANDSCAPING IRRIGATION WORK,1912,P&F HDPE pipe incl. fittings-90mm,12-12-2019,17-03-2022,M,180,2020,8
331,BLD-2248-D-LIC|B|1'1|C,LANDSCAPING IRRIGATION WORK,1913,P&F HDPE pipe incl. fittings-75mm,12-12-2019,17-03-2022,M,100,2020,8
332,BLD-2248-D-LIC|B|1'1|D,LANDSCAPING IRRIGATION WORK,1914,P&F HDPE pipe incl. fittings-63mm,12-12-2019,17-03-2022,M,550,2020,8
333,BLD-2248-D-LIC|B|1'1|E,LANDSCAPING IRRIGATION WORK,1915,P&F HDPE pipe incl. fittings-50mm,12-12-2019,17-03-2022,M,50,2020,8
334,BLD-2248-D-LIC|B|1'2|A,LANDSCAPING IRRIGATION WORK,1916,P&F LLDPE pipe-16mm incl pressre dripper,12-12-2019,17-03-2022,M,50,2020,8
335,BLD-2248-D-LIC|B|1'2|B,LANDSCAPING IRRIGATION WORK,1917,P&F LLDPE pipe-16mm (Poly tube),12-12-2019,17-03-2022,M,50,2020,8
336,BLD-2248-D-LIC|,LANDSCAPING IRRIGATION WORK,1918,S&F plastic mini valve for Dripline-16mm,12-12-2019,17-03-2022,EA,50,2020,8
337,BLD-2248-D-LIC|B|3|A,LANDSCAPING IRRIGATION WORK,1919,S&F Pop-Up type rotos (Rad-12.3M),12-12-2019,17-03-2022,EA,50,2020,8
338,BLD-2248-D-LIC|B|3|B,LANDSCAPING IRRIGATION WORK,1920,S&F Pop-Up type sprayers (Rad-5.5M),12-12-2019,17-03-2022,EA,50,2020,8
339,BLD-2248-D-LIC|B|3|C,LANDSCAPING IRRIGATION WORK,1921,S&F Pop-Up type Sprauyers (Rad-3.7M),12-12-2019,17-03-2022,EA,50,2020,8
340,BLD-2248-D-LIC|B|4|A,LANDSCAPING IRRIGATION WORK,1922,S&F serice saddles-20mmx63mm,12-12-2019,17-03-2022,EA,50,2020,8
341,BLD-2248-D-LIC|B|4|B,LANDSCAPING IRRIGATION WORK,1923,S&F serice saddles-15mmx75mm,12-12-2019,17-03-2022,EA,50,2020,8
342,BLD-2248-D-LIC|B|4|C,LANDSCAPING IRRIGATION WORK,1924,S&F serice saddles-15mmx63mm,12-12-2019,17-03-2022,EA,30,2020,8
343,BLD-2248-D-LIC|B|4|D,LANDSCAPING IRRIGATION WORK,1925,S&F serice saddles-15mmx63mm,12-12-2019,17-03-2022,EA,30,2020,8
344,BLD-2248-D-LIC|B|5|A,LANDSCAPING IRRIGATION WORK,1926,S&F CI Flazed -100 mm dia gate Valve,12-12-2019,17-03-2022,EA,4,2020,8
